Lat,Long,Depth,Magnitude
23.5,91.8,15,4.4
4.47,96.79,45,5.1
34.37,75.4,15,3.4
39.94,77.39,65,4.5
33.83,76.2,30,2.9
8.14,92.14,12,4.7
35.71,77.42,33,3.9
33.69,74.63,15,4.2
26.8,66.5,33,4.7
19.73,72.9,10,2.8
36.3,71.74,33,4.1
25.32,96.99,15,4.2
29.76,79.95,10,2.7
35.85,69.93,93,4.1
38.8,75.11,15,4.6
30.22,80.23,10,3.1
25.32,93.98,10,3.3
2.43,93.14,11,6.8
2.42,93.62,10,4.7
29,82.32,37,3.4
2.57,93.3,10,4.7
27.42,95.68,13,3.2
31.95,77,10,3
25.15,94.77,15,4.5
30.3,80.56,10,3.6
2.64,93.2,14,4.9
1.27,97.29,14,4.7
2.8,96.38,15,5.2
36.62,71.2,93,4.3
36.16,70.22,81,5.1
23.45,64.7,14,4.4
24.24,94.34,35,3.1
35.77,69.76,33,4.1
29.72,78.9,10,3.6
26.34,96.64,33,3.2
29.47,82.9,10,4
28.98,66.33,15,4.5
2.6,92.96,10,4.8
36.3,69.34,33,4.2
10.81,91.82,14,4.1
2.16,95.99,25,4.7
28.79,76.78,14,3
4.46,96.76,54,4.5
2.47,95.7,40,4.7
2.1,92.74,10,5.1
2.89,93.15,10,4.5
4.95,94.43,35,4.7
2.39,96.77,16,5.1
28.82,76.75,15,3.7
36.49,71.23,98,4.1
28.84,76.75,10,3.2
2.74,96.57,40,5.1
24.52,94.58,30,3.3
7.31,93.85,47,4.5
27.5,75.46,10,2.2
2.66,93.1,22,4.8
23.26,92.72,23,3.4
10.2,84.24,30,4.1
35.63,70.63,33,4.3
36.37,71.4,105,4.5
31.49,77.67,10,2.4
36.26,69.96,63,4.6
24.7,94.95,33,3
31.98,74.86,10,3
23.41,93.99,15,3.8
2.54,93.21,38,4.5
38.85,73.53,10,3.8
26.26,96.4,10,3.6
14.23,80.18,8,3.4
30.94,78.31,10,5
26.13,94.18,10,3.2
26.8,94.19,10,4.3
27.2,92.62,13,3.2
29.45,80.37,10,2.8
36.39,71.2,30,3.7
22.24,94.49,10,3.5
28.75,76.82,16,2.6
17.44,80.61,10,2.9
10.4,92.96,20,4.1
27.34,88.15,10,3.6
28.7,76.81,16,2.6
6.51,92.49,12,5
36.13,70.7,113,4.8
37.62,67.6,23,4.2
22.93,94.2,15,3.4
32.67,83.29,22,5
32.31,70.58,30,4.6
25.2,95.18,16,3.6
2.12,99.87,166,5.3
35.86,79.7,10,4.5
35.8,79.89,15,4.9
35.82,79.95,10,5.1
23.32,94.13,10,2.8
26.37,92.4,15,2.3
36.68,76.99,30,4
4.86,94.65,33,5.2
26.96,92.61,18,3.4
26.37,88.93,19,3.8
29.43,64.41,33,4.8
26.31,89.9,20,3.2
24.69,93.75,65,4.4
29.42,80.9,11,4.3
25.74,95.45,30,2.9
36.35,69.69,33,4
24.5,94.61,33,4.5
1.57,96.6,28,4.9
39.95,74.22,43,4.7
27.4,91.33,10,3.7
13.4,92.57,38,4.7
23.36,94.9,10,3.1
7.31,94.15,76,4.8
39.1,74.36,43,4.9
22.1,93.79,25,3.2
36.18,70.23,119,4.4
24.71,93.35,29,3.1
25.68,91.7,15,3.4
4.7,97.39,47,5
28.7,76.59,14,5.1
8.34,93.79,17,5.5
8.46,93.91,30,5
39.77,73.68,48,4.3
32.13,78.14,10,3.8
39.77,81.46,19,5.8
8.5,93.8,10,2.9
28.19,76.46,11,2.5
36.83,72.75,13,5.7
36.56,72.88,10,4.6
36.78,72.67,10,4.7
37.4,72.89,66,4.4
1.51,98.46,96,4.3
29.4,76.97,10,3.6
10.38,94.28,47,4.7
27.26,91.17,10,3.4
36.47,70.6,172,4.5
36.91,72.85,10,4.2
10.66,93.91,33,4.1
10.4,94.5,35,4.6
36.65,71.59,90,4.6
10.44,94.12,35,4.7
3.94,63.48,10,5.2
3.95,63.5,15,5.4
23.72,90.25,44,4.5
24.94,92.3,30,3.6
28.93,82.31,10,4.1
